x,y
14.1855,53.6594
14.2857,58.0596
14.386,62.4506
14.4862,66.0549
14.5865,60.9944
14.6867,66.7235
14.787,63.1894
14.8872,65.0954
14.9875,62.3164
15.0877,65.9403
15.188,65.0149
15.2882,68.1208
15.3885,79.5053
15.4887,70.7371
15.589,89.903
15.6892,80.4748
15.7895,80.2095
15.8897,76.2807
15.99,85.3713
16.0902,80.2988
16.1905,85.1044
16.2907,98.6221
16.391,86.6788
16.4912,94.253
16.5915,86.3483
16.6917,91.0568
16.792,101.4634
16.8922,90.8622
16.9925,104.457
17.0927,100.3413
17.193,95.408
17.2932,102.8103
17.3935,105.949
17.4937,105.6432
17.594,96.1411
17.6942,101.8246
17.7945,105.7008
17.8947,108.0544
17.995,113.0282
18.0952,112.3216
18.1955,106.2747
18.2957,116.3808
18.396,119.0712
18.4962,120.3657
18.5965,124.5292
18.6967,124.8635
18.797,124.5684
18.8972,123.5103
18.9975,117.1551
19.0977,129.2168
19.198,129.726
19.2982,131.6743
19.3985,125.5716
19.4987,128.199
19.599,140.5291
19.6992,136.7347
19.7995,142.0191
19.8997,140.4424
20.0,142.1488
