x,y
-6.3659,-0.0843
-6.2657,0.232
-6.1654,0.1516
-6.0652,0.7157
-5.9649,0.7113
-5.8647,0.5593
-5.7644,0.9988
-5.6642,1.7582
-5.5639,1.5228
-5.4637,-0.9058
-5.3634,-1.969
-5.2632,1.5251
-5.1629,-0.7701
-5.0627,0.378
-4.9624,-0.5613
-4.8622,-1.187
-4.7619,1.1626
-4.6617,1.3866
-4.5614,0.0572
-4.4612,-1.9509
-4.3609,0.1003
-4.2607,1.0449
-4.1604,-0.8193
-4.0602,0.8497
-3.9599,0.6577
-3.8596,1.2591
-3.7594,0.8062
-3.6591,-0.2795
-3.5589,1.8971
-3.4586,0.5491
-3.3584,0.6874
-3.2581,-0.2113
-3.1579,0.2859
-3.0576,-0.1482
-2.9574,0.571
-2.8571,2.4632
-2.7569,-0.6129
-2.6566,-0.8469
-2.5564,2.2456
-2.4561,0.5729
-2.3559,0.121
-2.2556,1.838
-2.1554,0.2005
-2.0551,2.6402
-1.9549,1.5004
-1.8546,0.3428
-1.7544,2.9964
-1.6541,0.2418
-1.5539,1.5982
-1.4536,1.164
-1.3534,2.1752
-1.2531,2.4437
-1.1529,0.9231
-1.0526,0.1467
-0.9524,1.3691
-0.8521,0.2406
-0.7519,2.941
-0.6516,1.0735
-0.5514,0.581
-0.4511,1.1406
-0.3509,-0.3816
-0.2506,0.0036
-0.1504,2.1855
-0.0501,0.3381
0.0501,-0.0419
0.1504,1.5518
0.2506,2.2111
0.3509,1.7547
0.4511,2.0422
0.5514,0.2999
0.6516,-0.3545
0.7519,2.5794
0.8521,0.7663
0.9524,0.8491
1.0526,2.4392
1.1529,1.6784
1.2531,1.5894
1.3534,3.3099
1.4536,0.5129
1.5539,2.096
1.6541,1.2369
1.7544,1.4604
1.8546,2.7322
1.9549,1.7237
2.0551,1.7665
2.1554,2.313
2.2556,0.8881
2.3559,0.4264
2.4561,0.2336
2.5564,-0.6751
2.6566,3.3605
2.7569,0.2142
2.8571,1.1095
2.9574,1.0673
3.0576,1.6651
3.1579,2.1871
3.2581,2.2456
3.3584,0.816
3.4586,1.2461
3.5589,1.71
3.6591,1.1931
3.7594,3.0637
3.8596,1.962
3.9599,2.2207
4.0602,2.1637
4.1604,2.6894
4.2607,1.7122
4.3609,0.2498
4.4612,1.9619
4.5614,0.9266
4.6617,1.0653
4.7619,2.1963
4.8622,2.8644
4.9624,1.6638
5.0627,1.9679
5.1629,3.378
5.2632,1.9334
5.3634,4.3114
5.4637,2.2925
5.5639,-0.0164
5.6642,2.5153
5.7644,2.1609
5.8647,3.0874
5.9649,2.4889
6.0652,1.6956
6.1654,0.6282
6.2657,1.6622
6.3659,1.0395
6.4662,1.3285
6.5664,2.5169
6.6667,3.6176
6.7669,2.362
6.8672,0.7913
6.9674,2.4518
7.0677,3.2241
7.1679,1.4381
7.2682,1.9345
7.3684,2.104
7.4687,1.3255
7.5689,2.7799
7.6692,2.0322
7.7694,2.5943
7.8697,1.3092
7.9699,1.7814
8.0702,2.9636
8.1704,1.891
8.2707,4.0136
8.3709,1.91
8.4712,2.5576
8.5714,3.289
8.6717,0.9618
8.7719,0.6433
8.8722,0.9027
8.9724,3.7154
9.0727,1.9257
9.1729,5.0607
9.2732,1.9635
9.3734,2.7377
9.4737,4.121
9.5739,4.611
9.6742,4.6926
9.7744,3.866
9.8747,3.7085
9.9749,3.304
10.0752,3.5172
10.1754,2.2152
10.2757,1.9761
10.3759,2.819
10.4762,2.6807
10.5764,2.4264
10.6767,3.605
10.7769,3.8932
10.8772,3.0559
10.9774,4.4749
11.0777,1.8859
11.1779,2.8644
11.2782,2.3721
11.3784,1.2535
11.4787,3.0688
11.5789,3.0615
11.6792,4.7287
11.7794,3.8785
11.8797,2.2562
11.9799,5.1676
12.0802,4.5679
12.1805,3.9627
12.2807,3.1881
12.381,2.4896
12.4812,3.1116
12.5815,4.6076
12.6817,5.4389
12.782,5.1334
12.8822,3.1375
12.9825,2.5432
13.0827,3.8407
13.183,1.9686
13.2832,4.0979
13.3835,3.6651
13.4837,3.3851
13.584,2.2952
13.6842,4.4427
13.7845,3.436
13.8847,2.8388
13.985,1.1768
14.0852,4.0624
14.1855,5.9034
14.2857,5.834
14.386,3.7577
14.4862,3.655
14.5865,4.7689
14.6867,3.3451
14.787,4.689
14.8872,5.1975
14.9875,5.703
15.0877,4.421
15.188,4.3631
15.2882,3.7348
15.3885,3.8323
15.4887,4.4797
15.589,5.1209
15.6892,5.7151
15.7895,4.0467
15.8897,6.3914
15.99,4.6769
16.0902,4.9766
16.1905,4.3011
16.2907,2.6749
16.391,6.0346
16.4912,5.9393
16.5915,4.9735
16.6917,5.3748
16.792,5.8772
16.8922,3.8527
16.9925,4.9408
17.0927,6.3192
17.193,4.3263
17.2932,5.9304
17.3935,4.3371
17.4937,6.2174
17.594,5.7733
17.6942,4.2523
17.7945,7.0913
17.8947,5.2517
17.995,5.2364
18.0952,6.3081
18.1955,7.3177
18.2957,5.2154
18.396,6.3557
18.4962,6.7862
18.5965,7.1146
18.6967,6.6626
18.797,6.1845
18.8972,5.79
18.9975,6.7704
19.0977,5.6794
19.198,3.8982
19.2982,7.3249
19.3985,7.8616
19.4987,4.6649
19.599,6.0889
19.6992,7.7893
19.7995,9.2999
19.8997,7.3361
20.0,6.6611
