x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50
-18.9975,-36.995,239.4449,-0.4422,0.1496,-13.9975,21.9975,-41.995,89.2739,399.8998,-178.4524,-0.1474,0.9891,0.6943,-0.2916,0.9565,-14.1014,0.3868,6.6842,2.9956,4.3586,-68.5629,-666.6311,18.9975,-8.9975,0.28,-0.1458,-73.99,43.995,94.1784,-103.2714,-0.737,2.9672,0.0739,-0.9973,0.0112,3.0444,18.0452,-10.0452,-0.5832,-9.6461,6.6883,0.05,-9.6461,-6.6883,0.0,-7.2181,-3.2673,2.4169,-1.0,-63.9925
-18.8972,-36.7945,237.2446,-0.143,0.1511,-13.8972,21.8972,-41.7945,88.2345,395.9003,-176.5529,-0.0477,0.9989,0.9035,-0.0952,0.9955,-14.1014,0.3887,6.6175,2.9906,4.3471,-67.4832,-655.9343,18.8972,-8.8972,0.0901,-0.0476,-73.589,43.7945,93.3184,-102.1317,-0.2383,2.9966,0.0238,-0.9997,0.0114,3.0396,17.8553,-9.8553,-0.1905,-9.4963,6.668,0.0503,-9.4963,-6.668,0.0,-7.1421,-3.2332,2.3843,-1.0,-63.6917
-18.797,-36.594,235.0544,0.1576,0.1526,-13.797,21.797,-41.594,87.2011,391.9209,-174.6635,0.0525,0.9986,1.1037,0.1049,0.9945,-14.1014,0.3907,6.5515,2.9855,4.3355,-66.4148,-645.3514,18.797,-8.797,-0.0988,0.0525,-73.188,43.594,92.4624,-100.9981,0.2627,2.9959,-0.0263,-0.9997,0.0116,3.0348,17.6663,-9.6663,0.2099,-9.346,6.6377,0.0505,-9.346,-6.6377,0.0,-7.0665,-3.1994,2.3521,-1.0,-63.391
-18.6967,-36.3935,232.8743,0.4567,0.1542,-13.6967,21.6967,-41.3935,86.1737,387.9616,-172.7841,0.1522,0.9883,1.2928,0.3009,0.9537,-14.1014,0.3926,6.4862,2.9805,4.324,-65.3579,-634.8818,18.6967,-8.6967,-0.2846,0.1504,-72.787,43.3935,91.6104,-99.8704,0.7611,2.965,-0.0763,-0.9971,0.0119,3.03,17.4784,-9.4784,0.6018,-9.1962,6.5974,0.0508,-9.1962,-6.5974,0.0,-6.9914,-3.166,2.3202,-1.0,-63.0902
-18.5965,-36.193,230.7042,0.7511,0.1557,-13.5965,21.5965,-41.193,85.1524,384.0225,-170.9147,0.2504,0.9681,1.4689,0.4848,0.8746,-14.1014,0.3946,6.4215,2.9754,4.3124,-64.3122,-624.525,18.5965,-8.5965,-0.4656,0.2424,-72.386,43.193,90.7624,-98.7488,1.2519,2.9044,-0.1262,-0.992,0.0121,3.0251,17.2915,-9.2915,0.9696,-9.0479,6.5471,0.051,-9.0479,-6.5471,0.0,-6.9166,-3.1329,2.2886,-1.0,-62.7895
-18.4962,-35.9925,228.5442,1.038,0.1573,-13.4962,21.4962,-40.9925,84.137,380.1034,-169.0555,0.346,0.9382,1.6303,0.6493,0.7606,-14.1014,0.3966,6.3574,2.9702,4.3007,-63.2777,-614.2803,18.4962,-8.4962,-0.64,0.3246,-71.985,42.9925,89.9184,-97.6333,1.7301,2.8147,-0.1757,-0.9844,0.0124,3.0202,17.1055,-9.1055,1.2985,-8.9021,6.4871,0.0513,-8.9021,-6.4871,0.0,-6.8422,-3.1001,2.2574,-1.0,-62.4887
-18.396,-35.792,226.3942,1.3145,0.1589,-13.396,21.396,-40.792,83.1277,376.2044,-167.2062,0.4382,0.8989,1.7752,0.7877,0.616,-14.1014,0.3986,6.294,2.9651,4.2891,-62.2543,-604.1472,18.396,-8.396,-0.8061,0.3939,-71.584,42.792,89.0785,-96.5237,2.1909,2.6967,-0.2248,-0.9744,0.0126,3.0153,16.9206,-8.9206,1.5755,-8.7598,6.4177,0.0516,-8.7598,-6.4177,0.0,-6.7682,-3.0676,2.2264,-1.0,-62.188
-18.2957,-35.5915,224.2543,1.5778,0.1605,-13.2957,21.2957,-40.5915,82.1245,372.3256,-165.367,0.5259,0.8505,1.9024,0.8946,0.4468,-14.1014,0.4006,6.2312,2.9599,4.2774,-61.2421,-594.125,18.2957,-8.2957,-0.9622,0.4473,-71.183,42.5915,88.2426,-95.4202,2.6297,2.5516,-0.2734,-0.9619,0.0129,3.0104,16.7367,-8.7367,1.7893,-8.6219,6.3392,0.0518,-8.6219,-6.3392,0.0,-6.6947,-3.0354,2.1959,-1.0,-61.8872
-18.1955,-35.391,222.1244,1.8253,0.1621,-13.1955,21.1955,-40.391,81.1273,368.4668,-163.5379,0.6084,0.7936,2.0105,0.9657,0.2597,-14.1014,0.4026,6.1691,2.9547,4.2656,-60.2409,-584.2131,18.1955,-8.1955,-1.107,0.4829,-70.782,42.391,87.4107,-94.3227,3.0421,2.3808,-0.3212,-0.947,0.0131,3.0055,16.5538,-8.5538,1.9314,-8.4893,6.2523,0.0521,-8.4893,-6.2523,0.0,-6.6215,-3.0035,2.1656,-1.0,-61.5865
-18.0952,-35.1905,220.0045,2.0544,0.1637,-13.0952,21.0952,-40.1905,80.1361,364.6281,-161.7188,0.6848,0.7287,2.0983,0.9981,0.0621,-14.1014,0.4046,6.1075,2.9494,4.2538,-59.2506,-574.411,18.0952,-8.0952,-1.2391,0.499,-70.381,42.1905,86.5828,-93.2313,3.424,2.1862,-0.3683,-0.9297,0.0134,3.0005,16.3719,-8.3719,1.9961,-8.3628,6.1573,0.0524,-8.3628,-6.1573,0.0,-6.5488,-2.9719,2.1356,-1.0,-61.2857
-17.995,-34.99,217.8947,2.2629,0.1654,-12.995,20.995,-39.99,79.1509,360.8095,-159.9098,0.7543,0.6565,2.1651,0.9904,-0.1379,-14.1014,0.4067,6.0466,2.9442,4.242,-58.2713,-564.7179,17.995,-7.995,-1.3573,0.4952,-69.9799,41.99,85.7589,-92.1459,3.7714,1.9696,-0.4144,-0.9101,0.0137,2.9955,16.191,-8.191,1.9809,-8.2432,6.055,0.0526,-8.2432,-6.055,0.0,-6.4764,-2.9406,2.106,-1.0,-60.985
-17.8947,-34.7895,215.795,2.4486,0.167,-12.8947,20.8947,-39.7895,78.1717,357.0111,-158.1108,0.8162,0.5778,2.2102,0.9431,-0.3324,-14.1014,0.4087,5.9863,2.9389,4.2302,-57.3028,-555.1334,17.8947,-7.8947,-1.4606,0.4716,-69.5789,41.7895,84.9391,-91.0665,4.081,1.7333,-0.4595,-0.8882,0.014,2.9905,16.0111,-8.0111,1.8863,-8.1312,5.9462,0.0529,-8.1312,-5.9462,0.0,-6.4044,-2.9096,2.0767,-1.0,-60.6842
-17.7945,-34.589,213.7053,2.6098,0.1687,-12.7945,20.7945,-39.589,77.1986,353.2327,-156.3219,0.8699,0.4932,2.233,0.858,-0.5136,-14.1014,0.4108,5.9266,2.9336,4.2184,-56.3451,-545.6568,17.7945,-7.7945,-1.548,0.429,-69.1779,41.589,84.1232,-89.9931,4.3497,1.4795,-0.5034,-0.8641,0.0142,2.9854,15.8322,-7.8322,1.7161,-8.0273,5.8315,0.0532,-8.0273,-5.8315,0.0,-6.3329,-2.8789,2.0477,-1.0,-60.3835
-17.6942,-34.3885,211.6257,2.7448,0.1704,-12.6942,20.6942,-39.3885,76.2316,349.4744,-154.543,0.9149,0.4036,2.2335,0.7386,-0.6742,-14.1014,0.4128,5.8675,2.9282,4.2065,-55.3982,-536.2875,17.6942,-7.6942,-1.6189,0.3693,-68.7769,41.3885,83.3114,-88.9258,4.5746,1.2109,-0.5461,-0.8377,0.0145,2.9803,15.6543,-7.6543,1.4771,-7.9322,5.7119,0.0535,-7.9322,-5.7119,0.0,-6.2617,-2.8485,2.019,-1.0,-60.0827
-17.594,-34.188,209.5561,2.8522,0.1721,-12.594,20.594,-39.188,75.2705,345.7363,-152.7742,0.9507,0.31,2.2115,0.5895,-0.8078,-14.1014,0.4149,5.8089,2.9228,4.1945,-54.4619,-527.0248,17.594,-7.594,-1.6727,0.2948,-68.3759,41.188,82.5036,-87.8645,4.7536,0.9301,-0.5874,-0.8093,0.0148,2.9752,15.4774,-7.4774,1.179,-7.8463,5.5882,0.0538,-7.8463,-5.5882,0.0,-6.191,-2.8184,1.9905,-1.0,-59.782
-17.4937,-33.9875,207.4966,2.9309,0.1739,-12.4937,20.4937,-38.9875,74.3155,342.0182,-151.0154,0.977,0.2133,2.1673,0.4168,-0.909,-14.1014,0.417,5.751,2.9174,4.1826,-53.5362,-517.8683,17.4937,-7.4937,-1.7091,0.2084,-67.9749,40.9875,81.6999,-86.8092,4.8849,0.64,-0.6272,-0.7789,0.0151,2.9701,15.3015,-7.3015,0.8336,-7.7699,5.4614,0.0541,-7.7699,-5.4614,0.0,-6.1206,-2.7886,1.9624,-1.0,-59.4812
-17.3935,-33.787,205.4471,2.9803,0.1756,-12.3935,20.3935,-38.787,73.3665,338.3202,-149.2666,0.9934,0.1145,2.1013,0.2274,-0.9738,-14.1014,0.4191,5.6936,2.912,4.1705,-52.6211,-508.8173,17.3935,-7.3935,-1.7279,0.1137,-67.5739,40.787,80.9001,-85.76,4.9671,0.3434,-0.6654,-0.7465,0.0154,2.9649,15.1267,-7.1267,0.4549,-7.7033,5.3325,0.0544,-7.7033,-5.3325,0.0,-6.0507,-2.759,1.9346,-1.0,-59.1805
-17.2932,-33.5865,203.4077,2.9997,0.1774,-12.2932,20.2932,-38.5865,72.4235,334.6424,-147.528,0.9999,0.0145,2.0143,0.0289,-0.9996,-14.1014,0.4212,5.6368,2.9065,4.1585,-51.7164,-499.8711,17.2932,-7.2932,-1.7291,0.0145,-67.1729,40.5865,80.1044,-84.7168,4.9995,0.0434,-0.702,-0.7122,0.0157,2.9598,14.9528,-6.9528,0.0579,-7.6467,5.2024,0.0547,-7.6467,-5.2024,0.0,-5.9811,-2.7297,1.9071,-1.0,-58.8797
-17.193,-33.386,201.3783,2.989,0.1792,-12.193,20.193,-38.386,71.4866,330.9846,-145.7993,0.9963,-0.0857,1.907,-0.1707,-0.9853,-14.1014,0.4233,5.5806,2.901,4.1464,-50.8222,-491.0293,17.193,-7.193,-1.713,-0.0854,-66.7719,40.386,79.3127,-83.6796,4.9816,-0.257,-0.7368,-0.6761,0.0161,2.9545,14.7799,-6.7799,-0.3414,-7.6002,5.0722,0.055,-7.6002,-5.0722,0.0,-5.912,-2.7007,1.8799,-1.0,-58.5789
-17.0927,-33.1855,199.3589,2.9482,0.181,-12.0927,20.0927,-38.1855,70.5557,327.3469,-144.0807,0.9827,-0.185,1.7805,-0.3635,-0.9316,-14.1014,0.4254,5.5249,2.8955,4.1343,-49.9384,-482.2911,17.0927,-7.0927,-1.6798,-0.1818,-66.3709,40.1855,78.525,-82.6484,4.9137,-0.5549,-0.7697,-0.6384,0.0164,2.9493,14.6081,-6.6081,-0.7271,-7.5636,4.9429,0.0553,-7.5636,-4.9429,0.0,-5.8432,-2.672,1.853,-1.0,-58.2782
-16.9925,-32.985,197.3497,2.8779,0.1828,-11.9925,19.9925,-37.985,69.6308,323.7294,-142.3722,0.9593,-0.2824,1.6362,-0.5418,-0.8405,-14.1014,0.4276,5.4698,2.89,4.1222,-49.0648,-473.6559,16.9925,-6.9925,-1.6301,-0.2709,-65.9699,39.985,77.7414,-81.6233,4.7965,-0.8472,-0.8007,-0.599,0.0167,2.944,14.4372,-6.4372,-1.0836,-7.5369,4.8154,0.0556,-7.5369,-4.8154,0.0,-5.7749,-2.6435,1.8263,-1.0,-57.9774
-16.8922,-32.7845,195.3504,2.7787,0.1847,-11.8922,19.8922,-37.7845,68.712,320.1319,-140.6737,0.9262,-0.377,1.4755,-0.6983,-0.7158,-14.1014,0.4297,5.4153,2.8844,4.11,-48.2015,-465.1233,16.8922,-6.8922,-1.5646,-0.3492,-65.5689,39.7845,76.9617,-80.6042,4.6311,-1.1309,-0.8298,-0.5581,0.0171,2.9388,14.2674,-6.2674,-1.3967,-7.5199,4.6907,0.0559,-7.5199,-4.6907,0.0,-5.7069,-2.6153,1.8,-1.0,-57.6767
-16.792,-32.584,193.3612,2.6515,0.1865,-11.792,19.792,-37.584,67.7992,316.5546,-138.9853,0.8838,-0.4678,1.2999,-0.8269,-0.5624,-14.1014,0.4319,5.3613,2.8787,4.0978,-47.3484,-456.6925,16.792,-6.792,-1.4841,-0.4134,-65.1679,39.584,76.1861,-79.5912,4.4192,-1.4033,-0.8567,-0.5159,0.0174,2.9334,14.0985,-6.0985,-1.6538,-7.5121,4.5698,0.0562,-7.5121,-4.5698,0.0,-5.6394,-2.5874,1.7739,-1.0,-57.3759
-16.6917,-32.3835,191.3821,2.4978,0.1884,-11.6917,19.6917,-37.3835,66.8924,312.9973,-137.3069,0.8326,-0.5539,1.1113,-0.9223,-0.3864,-14.1014,0.4341,5.3078,2.8731,4.0856,-46.5055,-448.3629,16.6917,-6.6917,-1.3897,-0.4612,-64.7669,39.3835,75.4145,-78.5841,4.1629,-1.6617,-0.8814,-0.4723,0.0177,2.9281,13.9307,-5.9307,-1.8447,-7.5133,4.4536,0.0565,-7.5133,-4.4536,0.0,-5.5723,-2.5597,1.7481,-1.0,-57.0752
-16.5915,-32.183,189.413,2.3189,0.1903,-11.5915,19.5915,-37.183,65.9917,309.4601,-135.6386,0.773,-0.6344,0.9115,-0.9808,-0.195,-14.1014,0.4362,5.2548,2.8674,4.0733,-45.6726,-440.134,16.5915,-6.5915,-1.2825,-0.4904,-64.3659,39.183,74.6469,-77.5831,3.8649,-1.9033,-0.904,-0.4275,0.0181,2.9227,13.7639,-5.7639,-1.9616,-7.5228,4.343,0.0568,-7.5228,-4.343,0.0,-5.5055,-2.5323,1.7226,-1.0,-56.7744
-16.4912,-31.9825,187.454,2.1168,0.1922,-11.4912,19.4912,-36.9825,65.097,305.9431,-133.9803,0.7056,-0.7086,0.7026,-1.0,0.0043,-14.1014,0.4384,5.2024,2.8617,4.0609,-44.8496,-432.0052,16.4912,-6.4912,-1.1636,-0.5,-63.9649,38.9825,73.8833,-76.5882,3.528,-2.1258,-0.9243,-0.3817,0.0185,2.9173,13.598,-5.598,-2.0,-7.54,4.2388,0.0572,-7.54,-4.2388,0.0,-5.4392,-2.5051,1.6973,-1.0,-56.4737
-16.391,-31.782,185.505,1.8934,0.1942,-11.391,19.391,-36.782,64.2083,302.4461,-132.3321,0.6311,-0.7757,0.4866,-0.9791,0.2033,-14.1014,0.4406,5.1505,2.856,4.0486,-44.0367,-423.9758,16.391,-6.391,-1.0345,-0.4896,-63.5639,38.782,73.1238,-75.5992,3.1557,-2.327,-0.9423,-0.3349,0.0188,2.9119,13.4332,-5.4332,-1.9582,-7.5644,4.1416,0.0575,-7.5644,-4.1416,0.0,-5.3733,-2.4782,1.6723,-1.0,-56.1729
-16.2907,-31.5815,183.5661,1.651,0.1961,-11.2907,19.2907,-36.5815,63.3256,298.9692,-130.6939,0.5503,-0.8349,0.2657,-0.919,0.3943,-14.1014,0.4428,5.0991,2.8502,4.0362,-43.2336,-416.0453,16.2907,-6.2907,-0.8965,-0.4595,-63.1629,38.5815,72.3683,-74.6163,2.7517,-2.5048,-0.9578,-0.2873,0.0192,2.9064,13.2694,-5.2694,-1.838,-7.595,4.0523,0.0578,-7.595,-4.0523,0.0,-5.3078,-2.4515,1.6476,-1.0,-55.8722
-16.1905,-31.381,181.6372,1.392,0.1981,-11.1905,19.1905,-36.381,62.449,295.5125,-129.0658,0.464,-0.8858,0.0422,-0.8221,0.5694,-14.1014,0.4451,5.0483,2.8444,4.0237,-42.4403,-408.2129,16.1905,-6.1905,-0.7512,-0.411,-62.7619,38.381,71.6168,-73.6395,2.32,-2.6575,-0.971,-0.2389,0.0196,2.9009,13.1066,-5.1066,-1.6441,-7.6312,3.9713,0.0582,-7.6312,-3.9713,0.0,-5.2426,-2.4251,1.6232,-1.0,-55.5714
-16.0902,-31.1805,179.7184,1.1191,0.2001,-11.0902,19.0902,-36.1805,61.5784,292.0758,-127.4477,0.373,-0.9278,-0.1818,-0.6922,0.7217,-14.1014,0.4473,4.9979,2.8385,4.0113,-41.6568,-400.4782,16.0902,-6.0902,-0.6002,-0.3461,-62.3609,38.1805,70.8693,-72.6686,1.8651,-2.7835,-0.9818,-0.19,0.02,2.8954,12.9448,-4.9448,-1.3844,-7.6721,3.8992,0.0585,-7.6721,-3.8992,0.0,-5.1779,-2.3989,1.599,-1.0,-55.2707
-15.99,-30.9799,177.8096,0.8349,0.2021,-10.99,18.99,-35.9799,60.7138,288.6592,-125.8396,0.2783,-0.9605,-0.4039,-0.5346,0.8451,-14.1014,0.4496,4.9481,2.8326,3.9987,-40.8831,-392.8406,15.99,-5.99,-0.445,-0.2673,-61.9599,37.9799,70.1258,-71.7038,1.3914,-2.8815,-0.9901,-0.1405,0.0204,2.8898,12.784,-4.784,-1.0692,-7.7167,3.8365,0.0589,-7.7167,-3.8365,0.0,-5.1136,-2.373,1.5751,-1.0,-54.9699
-15.8897,-30.7794,175.9108,0.5423,0.2041,-10.8897,18.8897,-35.7794,59.8553,285.2628,-124.2417,0.1808,-0.9835,-0.622,-0.3556,0.9347,-14.1014,0.4518,4.8987,2.8267,3.9862,-40.1189,-385.2993,15.8897,-5.8897,-0.2872,-0.1778,-61.5589,37.7794,69.3864,-70.745,0.9038,-2.9506,-0.9959,-0.0908,0.0208,2.8842,12.6242,-4.6242,-0.7111,-7.7641,3.7834,0.0592,-7.7641,-3.7834,0.0,-5.0497,-2.3473,1.5514,-1.0,-54.6692
-15.7895,-30.5789,174.0222,0.2443,0.2062,-10.7895,18.7895,-35.5789,59.0028,281.8864,-122.6537,0.0814,-0.9967,-0.8338,-0.1623,0.9867,-14.1014,0.4541,4.8498,2.8208,3.9736,-39.3643,-377.8539,15.7895,-5.7895,-0.1286,-0.0811,-61.1579,37.5789,68.651,-69.7922,0.4071,-2.99,-0.9992,-0.0407,0.0213,2.8786,12.4654,-4.4654,-0.3246,-7.8133,3.7402,0.0596,-7.8133,-3.7402,0.0,-4.9861,-2.3218,1.528,-1.0,-54.3684
-15.6892,-30.3784,172.1435,-0.0562,0.2083,-10.6892,18.6892,-35.3784,58.1563,278.5302,-121.0759,-0.0187,-0.9998,-1.0373,0.0375,0.9993,-14.1014,0.4564,4.8015,2.8148,3.961,-38.6193,-370.5037,15.6892,-5.6892,0.0294,0.0187,-60.7569,37.3784,67.9196,-68.8455,-0.0937,-2.9995,-1.0,0.0094,0.0217,2.873,12.3076,-4.3076,0.0749,-7.8634,3.7069,0.0599,-7.8634,-3.7069,0.0,-4.923,-2.2966,1.5049,-1.0,-54.0677
-15.589,-30.1779,170.2749,-0.3561,0.2104,-10.589,18.589,-35.1779,57.3158,275.194,-119.508,-0.1187,-0.9929,-1.2303,0.2357,0.9718,-14.1014,0.4587,4.7536,2.8087,3.9483,-37.8837,-363.2481,15.589,-5.589,0.1851,0.1179,-60.3559,37.1779,67.1922,-67.9048,-0.5936,-2.9788,-0.9982,0.0595,0.0221,2.8673,12.1508,-4.1508,0.4715,-7.9132,3.6838,0.0603,-7.9132,-3.6838,0.0,-4.8603,-2.2716,1.482,-1.0,-53.7669
-15.4887,-29.9774,168.4164,-0.6525,0.2125,-10.4887,18.4887,-34.9774,56.4814,271.8779,-117.9503,-0.2175,-0.9761,-1.411,0.4246,0.9054,-14.1014,0.461,4.7062,2.8027,3.9356,-37.1575,-356.0865,15.4887,-5.4887,0.3369,0.2123,-59.9549,36.9774,66.4688,-66.9702,-1.0874,-2.9282,-0.994,0.1094,0.0226,2.8616,11.995,-3.995,0.8491,-7.9619,3.6706,0.0606,-7.9619,-3.6706,0.0,-4.798,-2.2468,1.4593,-1.0,-53.4662
-15.3885,-29.7769,166.5679,-0.9423,0.2146,-10.3885,18.3885,-34.7769,55.653,268.582,-116.4025,-0.3141,-0.9494,-1.5776,0.5964,0.8027,-14.1014,0.4633,4.6592,2.7966,3.9228,-36.4407,-349.0183,15.3885,-5.3885,0.4833,0.2982,-59.5539,36.7769,65.7495,-66.0415,-1.5704,-2.8482,-0.9873,0.1591,0.023,2.8558,11.8403,-3.8403,1.1928,-8.0083,3.6671,0.061,-8.0083,-3.6671,0.0,-4.7361,-2.2223,1.4369,-1.0,-53.1654
-15.2882,-29.5764,164.7295,-1.2226,0.2168,-10.2882,18.2882,-34.5764,54.8307,265.3061,-114.8648,-0.4075,-0.9132,-1.7282,0.7443,0.6678,-14.1014,0.4656,4.6127,2.7904,3.91,-35.7331,-342.0429,15.2882,-5.2882,0.623,0.3721,-59.1529,36.5764,65.0342,-65.1189,-2.0376,-2.7396,-0.9781,0.2083,0.0235,2.85,11.6865,-3.6865,1.4886,-8.0516,3.6733,0.0614,-8.0516,-3.6733,0.0,-4.6746,-2.198,1.4148,-1.0,-52.8647
-15.188,-29.3759,162.9011,-1.4906,0.219,-10.188,18.188,-34.3759,54.0144,262.0504,-113.3372,-0.4969,-0.8678,-1.8616,0.8624,0.5062,-14.1014,0.4679,4.5667,2.7843,3.8972,-35.0348,-335.1597,15.188,-5.188,0.7547,0.4312,-58.7519,36.3759,64.3229,-64.2023,-2.4844,-2.6035,-0.9664,0.2571,0.024,2.8442,11.5337,-3.5337,1.7248,-8.0909,3.6886,0.0618,-8.0909,-3.6886,0.0,-4.6135,-2.1739,1.3929,-1.0,-52.5639
-15.0877,-29.1754,161.0828,-1.7437,0.2212,-10.0877,18.0877,-34.1754,53.2041,258.8147,-111.8196,-0.5812,-0.8137,-1.9762,0.9459,0.3243,-14.1014,0.4703,4.5212,2.7781,3.8843,-34.3456,-328.368,15.0877,-5.0877,0.8769,0.473,-58.3509,36.1754,63.6156,-63.2918,-2.9062,-2.4412,-0.9523,0.3052,0.0245,2.8384,11.382,-3.382,1.8919,-8.1251,3.7126,0.0622,-8.1251,-3.7126,0.0,-4.5528,-2.15,1.3712,-1.0,-52.2632
